#CODE;ENGLISH;x

EVTNAME6301;The Turnip Act;x
EVTNAME6302;The Pants Act;x
EVTNAME6303;The Hole in the Wall Act;x
EVTNAME6304;The Cessation of Violence Act;x

EVTDESC6000;A strange, reddish-pink rash appeared on my palms and soles not long ago along with a fever and headache. Some parts of the rash has developed abscesses and is both ugly and itchy.;x
EVTDESC6001;The rash disappeared and took the headache and fever with it.;x
EVTDESC6010;First I lost my eyebrows and eyelashes, then my nose deformed. People fear me and I must hide my face as to not cause hysteria among others.;x
EVTDESC6011;A man approached me and I tried to duck away from him, not let him see my disfigurement. He told me he had a cure and sold me a potion for only 25 gold coins.;x
EVTDESC6020;The voices in my head are telling me to do horrible things!;x
EVTDESC6020_COMA;I awoke from my unending nightmare screaming. I have been in the abyss, an indescribable darkness. How long have I been asleep? Weeks, years?!;x
EVTDESC6020_FEVER;The fever has broken - perhaps only temporarily - but I can still see the shadowy figures lurking in the corners. Are they real?;x
EVTDESC6020_PARA;They are all watching me, conspiring... even my closest friends. Dark eyes, cold eyes... evil eyes.;x
EVTDESC6020_PRISON;There are things in the walls. Things... Not rats, oh no! Not vermin at all... but scratching, watching, trying to drive me insane!;x
EVTDESC6020_ZEAL;The dark stain of heresy has infected everyone around me. [Root.Religion.GetRandomEvilGodNameCap] is winning the war for humanity's souls. No one is pure... except me.;x
EVTDESC6021;I was later told that my strange behavior and fear of the moon was caused by the voices in my head. The [Root.Religion.GetPriestTitle] managed to clear my head of voices and now I have total silence.;x
EVTDESC6030;I am speaking in tongues, screaming obscenities at random times, most often when the [Root.Religion.GetPriestTitle] preaches and am sometimes lying on the ground writhing in apparent pain. I seldom remember these things and people believe me to be possessed.;x
EVTDESC6030_MUS;I am speaking in tongues, screaming obscenities at random times, most often when the imam is talking and am sometimes lying on the ground writhing in apparent pain. I seldom remember these things and people believe me to be possessed.;x
EVTDESC6031;Vade retro satana!'\n\nThe priest's exorcism worked beautifully, I haven't spoken in tongues or screamed obscenities for several days!;x
EVTDESC6031_ALL;As the [Root.Religion.GetPriestTitle] slowly pulled me out of the holy spring, the water started boiling and frothing, paint running off the arcane runes smeared on my naked body. Filled with wonder, I realized that the gibbering voices in my head had finally fallen silent!;x
EVTDESC6031_MUS;By reciting The Throne Verse from the Qur'an and invoking Allah's help the imam managed to repair the damage in me caused by sihr or witchcraft. To be on the safe side, we also recited together the three last suras from the Qur'an: Surat al-Ikhlas (The Fidelity), Surat al-Falaq (The Dawn) and Surat al-Nas (Mankind).;x
EVTDESC6040;My moodiness and tendency to lash out at people is getting worse. I sleep too little and can't seem to stop worrying.;x
EVTDESC6041;The world will not weigh me down anymore, I have a new spring in my step, joy in my heart and a smile on my face.;x
EVTDESC6050;I find myself lying in bed all day, the act of getting up almost as difficult as that of ruling. Food tastes bland, and my time spent with friends doesn't bring the joy it once did. I don't really understand why, but I hate my life.;x
EVTDESC6051;After a couple of days just spending some time doing things I love, hunting, reading and visiting friends, life does not seem as grey as it did before.;x
EVTDESC6060;I don't feel too well, something is wrong with me. I am burning up with fever, my nose is running and my head feels as if someone is banging something hard against it.;x
EVTDESC6061;I woke this morning feeling much better. It seems that my illness has passed.;x
EVTDESC6062;Nana says I am not sick anymore.;x
EVTDESC6070;This cough is killing me! It started as chest pain and shortness of breath, then I started coughing up phlegm and now blood!;x
EVTDESC6071;The cough disappeared, thank [Root.Religion.GetRandomGodName]! I still feel a bit weak but the coughing, the chest pain and the shortness of breath are gone.;x
EVTDESC6080;When the hot cautery touched the open wound, I couldn't hold the scream back. I cursed the doctor who only laughed, told me to take it easy and not pick on the wound.;x
EVTDESC6081;The old wound has finally healed, leaving a pretty grotesque scar behind.;x
EVTDESC6082;An old wound is aggravating and painful;x
EVTDESC6100;My body may be sapless and infirm, but my mind is as healthy as ever!;x
EVTDESC6110;Where am I? Who are these people? Oh, pretty colors...;x
EVTDESC6111;I haven't coughed for days and the pain is gone. Fate has granted me reprieve.;x
EVTDESC6112;I feel weak as a babe, but the cursed fever has finally broken!;x
EVTDESC6113;The spots are receding and the fever has broken. Am I really cured?;x
EVTDESC6114;I am alive... I AM ALIVE!;x
EVTDESC6115;It takes more to kill me than measly measles!;x
EVTDESC6116;I think I made it through this cursed disease.;x
