#CODE;ENGLISH;x

EVT_DESC_JD_60002_A;One morning I awake to find that an envoy from the [offmap_china.GetFullName] has arrived and wishes to speak with me. "Greetings to the [GetChineseComplimentAdjective] [Root.GetTitledFirstName]. [GetChineseLetterBlessing]. I am [From.GetFullName] and I come bearing treasures from the Middle Kingdom to barter and trade on behalf of [offmap_china.Ruler.GetTitledFirstName]. Does this matter interest you?";x
EVT_DESC_JD_60002_B;One morning I awake to find that [From.GetFullName], the Chinese trader I was gifted by the [offmap_china.Ruler.GetTitle], wishes to speak with me. "Greetings to the [GetChineseComplimentAdjective] [Root.GetTitledFirstName]. [GetChineseLetterBlessing]. I have recently been sent some treasures from my homeland and have been granted permission to barter and trade on behalf of [offmap_china.Ruler.GetTitledFirstName]. Does this matter interest you?";x
EVT_DESC_JD_60003_A;[FromFrom.GetFullName] nods [FromFrom.GetHerHis] head and bows. "The [offmap_china.Ruler.GetTitle] will be most pleased with this, you truly are a [GetChineseComplimentAdjective] [Root.GetTitle]!" As [FromFrom.GetFullName] departs I move to inspect my newly acquired [FromFrom.Culture.GetName] treasure.;x
EVT_DESC_JD_60003_B;Come the evening everything proceeds exactly as I intended. The food is good, the drinks are flowing and [FromFrom.GetFullName] is smiling the entire night. The following morning, as [FromFrom.GetFullName] departs, [FromFrom.GetSheHe] points to a chest which contains a [FromFrom.Culture.GetName] treasure that [FromFrom.GetSheHe] wishes for me to have as thanks for the feast and for being such a gracious host.;x
EVT_DESC_JD_60003_C;Come the evening things do not go as I planned. The food and drink is not to [FromFrom.GetFullName]'s taste and [FromFrom.GetSheHe] is obviously not enjoying [FromFrom.GetHerselfHimself]. The following morning [FromFrom.GetFullName] departs, likely to not speak highly of me to the [offmap_china.Ruler.GetTitle]. There will be no foreign treasures for me today...;x
EVT_DESC_JD_60004;After [chinese_guest.GetFullName]'s departure I was informed about a note in my room attached to a chest, it reads "To the [GetChineseComplimentAdjective] [Root.GetTitle], I thoroughly enjoyed my stay at your court and wanted to leave you a token of appreciation on behalf of myself and the [offmap_china.Ruler.GetTitle]. I hope it pleases you.";x
EVT_DESC_JD_60008;My trusty and loyal steed [From.GetFirstName] is likely to be the target of all manner of malicious attacks by my enemies to destabilize my rule... I could have my smiths forge [From.GetHerHim] a set of armor to aid in protecting my most precious companion.;x

EVT_OPTA_JD_60002;The [offmap_china.Ruler.GetTitle] is always in need of more eunuchs! Take [chinese_envoy_eunuch_target.GetTitledFirstName].;x
EVT_OPTA_JD_60003;I have always considered myself a [Root.GetManWoman] of refined taste!;x
EVT_OPTA_JD_60008;Only the finest armor can protect my precious [From.GetFirstName]!;x

EVT_OPTB_JD_60002;[chinese_envoy_concubine_target.GetTitledFirstName] will make an excellent concubine for the [offmap_china.Ruler.GetTitle].;x
EVT_OPTB_JD_60003;What a magnificent trinket, I shall certainly put it to good use!;x
EVT_OPTB_JD_60008;A strong set of armor will keep [From.GetHerHim] safe.;x

EVT_OPTC_JD_60002;We shall send plenty of gold for you to return with!;x
EVT_OPTC_JD_60003;It is not my fault [FromFrom.GetSheHe] is so picky!;x
