#CODE;ENGLISH;x

## councillor_decisions.txt

# help_liege_manage_titles
NOT_PROPOSED_TITLE_HELP_RECENTLY_TOOLTIP;Liege has not been recently proposed to be helped.\n;x
NOT_REFUSED_ANY_HELP_WITH_TITLES_TOOLTIP;Liege has not refused any notion of help.\n;x
NOT_GETTING_HELP_WITH_TITLES_TOOLTIP;Liege is not already being helped with his titles.;x

# ask_help_to_manage_titles
HAS_CHANCELLOR;Has a chancellor;x
TOOLTIP_RECENTLY_ASKED_HELP_WITH_TITLES;Has NOT recently taken this decision;x


## faction_decisions.txt

EVTTOOLTIP8005;§Y[Root.Liege.GetTitledName]§! receives an ultimatum.;x
tt_no_occupied_titles_in_realm;No realm holdings are occupied\n;x


# Vanilla mess
controls_kaliopolis_thrake;Controls §YKaliopolis§! and §YThrake§!\n;x
indulgence_ask;The Holy Father will hear our plea for salvation.;x
repentance_ask;The Holy Father will hear our plea for salvation.;x
joining_faction;You gain leverage that can be used to recruit this noble into a faction.;x
ignore_law;For the good of all, you and everyone else in the realm ignore the existence of this law.;x
improve_diplomacy_quit;You look for some other way to improve your diplomacy.;x
improve_intrigue_quit;You look for some other way to improve your intrigue.;x
improve_learning_quit;You look for some other way to improve your learning.;x
improve_martial_quit;You look for some other way to improve your martial ability.;x
improve_stewardship_quit;You look for some other way to improve your stewardship.;x
lower_decadence_quit;You look for some other way to lower your dynasty's decadence.;x
horse_chancellor;You are forced through the indignity of watching as Glitterhoof is led into the council chambers and appointed [Root.Liege.GetChancellorName].;x
hurry_dungeons;You hurry to the dungeons...;x
leaving_faction;Your vassal promises not to associate with factions conspiring against you.;x
failed_sally;Defending troops gets §R-10.0%§! morale.\nDefending troops take §R5.0%§! losses.\n§GEnemy:§! Attacking troops take §R2.5%§! losses.;x
siege_assault;Defending troops gets §R-20.0%§! morale.\nDefending troops take §R20.0%§! losses.\n§GEnemy:§! Attacking troops take §R10.0%§! losses.;x
siege_disease;§GEnemy:§! Attacking troops take §R5.0%§! losses.;x
siege_execute;§GEnemy:§! Defending troops gets §G10.0%§! morale.;x
siege_hide;Defending troops gets §R-5.0%§! morale.\nDefending troops take §R5.0%§! losses.\n§GEnemy:§! Attacking troops take §R15.0%§! losses.;x
siege_hunger;§GEnemy:§! Defending troops take §R5.0%§! losses.;x
siege_miracle;Attacking troops take §R90.0%§! losses.\nAttacking troops gets §R-90.0%§! morale.\n§GEnemy:§! Defending troops gets §G100.0%§! morale.;x
siege_personal_charge;Defending troops gets §R-10.0%§! morale.;x
siege_raiders;§GEnemy:§! Attacking troops take §R1.0%§! losses.;x
siege_trader;§GEnemy:§! Defending troops gets §G10.0%§! morale.;x
siege_treachery;Defending troops gets §R-10.0%§! morale.;x
successful_sally;Defending troops gets §G10.0%§! morale.\nDefending troops take §R2.5%§! losses.\n§GEnemy:§! Attacking troops take §R5.0%§! losses.;x
successful_sally_attacker;Attacking troops take §R5.0%§! losses.\n§GEnemy:§! Defending troops gets §G10.0%§! morale.\nDefending troops take §R2.5%§! losses.;x
CTT_CHRISTIAN_CRUSADES_UNLOCKED;The Crusading Era has Begun\n;x
CTT_MUSLIM_JIHADS_UNLOCKED;The Great Jihad Era has Begun\n;x
CTT_PAGAN_GHWS_UNLOCKED;The Pagan Great Holy War Era has Begun\n;x
evt_relative_might_revolt;§RWARNING:§! [From.GetFirstName] might not passively accept your decision!;x
THREE_HOLY_SITES_TT;Controls three Holy Sites;x
already_exodus_tooltip;Has NOT asked courtiers to leave recently;x
animal_cages_modifier_tt;Enables the use of §YDangerous Animals§! in the Arena;x
any_artifact_relic_TT;You possess a holy artifact;x
armoury_modifier_tt;Allows more options when §YFinding a Smith§!.;x
ARTIFACT_UNICORN_TT;Is a Horse;x
better_chance_of_defender_siege_events_custom_modifier_tt;Defenders will have more chances of actively resisting sieges.;x
better_melee_tactics_custom_modifier_tt;The chance of Flank leaders choosing better melee tactics increases;x
better_skirmisher_tactics_custom_modifier_tt;The chance of Flank leaders choosing better skirmisher tactics increases;x
