#CODE;ENGLISH;x

EVTDESC66000;There are members of our dynasty that hold land, but have no children that can continue their legacy. I'm more than fit enough to get part of that inheritance.;x
EVTDESC66010;[From.GetBestName] is asking for a claim on one of our titles, as [From.GetSheHe] believes that [From.GetSheHe] is entitled to part of our inheritance early.;x
EVTDESC66020;[From.GetBestName] believes that [From.GetSheHe] should be granted a title from us, due to [From.GetHerHis] competence, and the worry that we are childless.;x
EVTDESC66110;My [claimant.GetRootRelation], [claimant.GetTitledFirstNameNoRegnal], keeps asking me to press [claimant.GetPossPronoun] claim on [claimant_claim.GetName] for the glory of our dynasty.;x

EVTOPTA66000;I deserve a claim on a title!;x
EVTOPTA66010;Grant [From.GetHerHim] a legal claim.;x
EVTOPTA66020;Grant [From.GetHerHim] a title!;x
EVTOPTA66110;Prepare for War!;x

EVTOPTB66000;I deserve a title!;x
EVTOPTB66010;Refuse such outrageous demands!;x
EVTOPTB66020;Refuse such outrageous demands!;x
EVTOPTB66110;Refuse such outrageous demands!;x

EVTTOOLTIP66010;Will look at your demands for a claim.;x
EVTTOOLTIP66020;Will evaluate your need for a title.;x

# CleanSlate: No longer used
# EVTDESC66100;I have a claim on a title, and it should rightfully be mine.;x
# EVTOPTA66100;Ask our liege to fight for our land!;x
# EVTTOOLTIP66110;[Root.TopLiege.GetTitledName] will consider it.;x
