#CODE;ENGLISH;x

EVTDESC61000;My position as regent to [This.Liege.GetTitledFirstName] means that I have access to the treasury. I think I deserve a raise...;x
EVTDESC61001;Money has been disappearing from the treasury. I suspect my regent, [From.GetTitledFirstName]...;x
EVTDESC61002;Money has been disappearing from the coffers of my liege, [This.Liege.GetTitledFirstName]. I suspect the regent, [From.GetTitledFirstName]...;x
EVTDESC61003;I have indisputable proof that my regent, [From.GetTitledFirstName] is embezzling money from the treasury!;x
EVTDESC61004;My investigations have unearthed proof that the regent of [This.Liege.PrimaryTitle.GetName], [From.GetTitledFirstName], has been embezzling money!;x
EVTDESC61100;As the regent of [Root.Liege.GetTitledFirstName], my duty is to safeguard the realm. I feel that one of [Root.Liege.GetHerHis] holdings would flourish much more under my direct supervision.;x
EVTDESC61101;[Root.Regent.GetTitledName], your regent, has decided in [Root.Regent.GetHerHis] infinite wisdom that one of your titles would benefit the realm more if it was awarded directly to [Root.Regent.GetHerHim].;x
EVTDESC61105;The poor of the realm have suffered terribly under the rule of [Root.Liege.GetTitledFirstName]. As [Root.Liege.GetHerHis] regent, I am in a position to give something back to the people.;x
EVTDESC61106;[Root.Regent.GetTitledName], your regent, seems to have given in to [Root.Regent.GetHerHis] charitable nature and has been donating alms to the poor from your coffers. Worst of all, [Root.Regent.GetSheHe] has been doing it in your name!;x
EVTDESC61110;The administration of your realm has improved significantly since [Root.Regent.GetTitledFirstName] became your regent. If only you had [Root.Regent.GetHerHis] skills!;x
EVTDESC61120;[Root.Liege.GetTitledFirstName] is a decrepit fool and a pathetic shell of a [Root.Liege.GetManWoman]. As [Root.Liege.GetHerHis] appointed regent, I think the court needs a new jester...;x
EVTDESC61121;As you sit powerless on your throne, your regent, [Root.Regent.GetTitledName], has made a regular habit of mocking you in front of the rest of the court - [Root.Regent.GetSheHe] hangs [Root.Regent.GetHerHis] coat on your head, [Root.Regent.GetSheHe] writes crude sentiments on your forehead with charcoal and one time [Root.Regent.GetSheHe] even cracked open a walnut using your teeth. The indignity!;x
EVTDESC61122;[Root.Liege.Regent.GetTitledName], the regent of [Root.Liege.GetTitledFirstName], has been physically humiliating [Root.Liege.GetHerHim] in public. Due to the [Root.Liege.GetTitle]'s infirm nature, [Root.Liege.GetSheHe] is powerless to resist. Honor demands that you put an end to this disgrace!;x
EVTDESC61123;The way your regent has been treating you has not gone unnoticed. [From.GetTitledName] approaches you alone one evening to express [From.GetHerHis] disgust at the vile indignities you have been made to suffer. Eyes tearful with anger, [From.GetSheHe] promises to take action against your regent... if only you would give your approval.;x
EVTDESC61124;Though [Root.Liege.GetSheHe] is not quite [Root.Liege.GetHerselfHimself] these days, you feel that your liege has given [Root.Liege.GetHerHis] blessing to take decisive action against [Root.Liege.Regent.GetTitledName]. Rally some dependable men! The realm needs a new regent!;x
EVTDESC61125;We have trapped [Root.Liege.Regent.GetFirstName] in one of the castle towers like a cornered rat! Those few guards at court that supported [Root.Liege.Regent.GetHerHim] have fled or been cut down.;x
EVTDESC61127;[Root.Liege.Regent.GetFirstName] had more support at court than expected. We fought bravely in defense of the realm, but most of the guards rallied to the side of [Root.Liege.Regent.GetFirstName]. All is lost!;x
EVTDESC61128;[From.GetTitledName], the fool, has decided to end your regency out of misguided sympathy for [Root.Liege.GetTitledFirstName]. Fortunately enough guards rallied to your side to thwart [From.GetHerHis] little scheme.;x
EVTDESC61129;[From.GetTitledName], the fool, has decided to end your regency out of misguided sympathy for [Root.Liege.GetTitledFirstName]. The treacherous guards seem to have left you to your fate!;x
EVTDESC61130;[From.GetTitledFirstName] failed to replace your regent and is now languishing in your castle dungeons. It seems your suffering at the hands of [Root.Regent.GetTitledFirstName] will end only in the blissful embrace of death...;x
EVTDESC61131;From where you were propped up on your throne, you could hear shouting and the distinct sound of steel striking steel inside the castle. The men loyal to [From.GetTitledFirstName] prevailed against [Root.Regent.GetTitledFirstName]! No longer will [Root.Regent.GetHerHis] vile presence be felt at court, and a new regent is to be appointed forthwith.;x
EVTDESC61135;As you ride through the empty corridors of your castle on your trusty wooden stick horse, you come across your regent, [Root.Regent.GetTitledName], getting some fresh air on a balcony... with [Root.Regent.GetHerHis] back turned against you.;x
EVTDESC61140;It suddenly dawns on you - when [Root.Liege.GetTitledFirstName] comes of age, your title as regent of the realm is forfeit. Perhaps something could be done to extend your enlightened stewardship of the throne... for the good of the realm, of course.;x
EVTDESC61141;It is becoming increasingly obvious that [Root.Liege.GetTitledFirstName] is a very... special child. You can no longer explain away [Root.Liege.GetHerHis] growing madness as the mere eccentricities of youth.;x
EVTDESC61142;The mad [Root.Liege.GetTitledFirstName] has been imprisoned in one of the castle towers, and your regency will continue until the child is declared sound of mind, regardless of [Root.Liege.GetHerHis] age.;x
EVTDESC61145;Through skillful conniving, you have managed to see [Root.Liege.GetTitledFirstName] declared insane. Until [Root.Liege.GetHerHis] mental state improves, the child will remain locked up in one of the castle towers while your illustrious regency continues.;x
