EVTDESCRIP.15001;You order tar be poured over [From.GetTitledFirstName], after which [From.GetSheHe] is rolled in feathers. Your guards laugh as they wheel [From.GetHerHim] around the city. Commoners and nobles alike sneer incredulously at [From.GetTitledFirstName]. What a display!;x
EVTDESCRIP.15002;Your [FromFrom.GetTitledFirstName] has decided to be merciful and you are safe from the rack. However, before your release you are to be drenched in tar and rolled in feathers. You will then be put on a cart and wheeled through the streets. The guard escorting you to your sentence snickers delightedly at your predicament.;x
EVTDESCRIP.15003;After some struggle [From.GetTitledFirstName] is dragged from [From.GetHerHis] cell, out to the town square and put in the stocks. [From.GetSheHeCap] will learn to respect you soon enough.;x
EVTDESCRIP.15004;The guards rouse you from your slumber and you are dragged from your cell. Your [From.GetTitledFirstName] has decided to release you, but not before you have spent some time in the stocks. "Discourages the youth from causing trouble", one guard mumbles. "Oh, and expect rotten tomatoes.";x
EVTDESCRIP.15005;The scurrilous [From.GetTitledFirstName] is bound by the hands and led through the crowded streets, dressed in naught but [From.GetHerHis] shame. May your people and the heavens bear witness to [From.GetHerHis] repentance!;x
EVTDESCRIP.15006;Your [From.GetTitledFirstName] has sentenced you. To repent for your unsavory crimes, you are to be led through the crowded streets, naked in front of the people as well as the heavens. Shame is your name.;x
EVTDESCRIP.15007;You order [From.GetTitledFirstName] be stripped of [From.GetHerHis] clothing, [From.GetHerHis] hands and feet bound, before [From.GetSheHe] is slung up on horseback. The [GetRootFromInsult] will be paraded around your camp: let all bear witness to [From.GetHerHis] humiliation!;x
EVTDESCRIP.15008;What seems like an ordinary day in your confinement takes a brusque turn when guards appear to strip you of your clothing. [From.GetTitledFirstName] has sentenced you to be tied up and paraded around camp on horseback. "You'll be nude, but you'll live", a guards spits, disappointment in his voice.;x

EVTOPTARIP.15001;The dress suits [From.GetHerHim].;x
EVTOPTARIP.15002;I do not deserve this humiliation!;x
EVTOPTARIP.15003;Let them stare! Serves [From.GetHerHim] right.;x
EVTOPTARIP.15004;This is so embarrassing!;x
EVTOPTARIP.15005;I did it for [From.GetHerHis] own good.;x
EVTOPTARIP.15006;My name is [Root.GetTitledFirstName]! This is unfair!;x
EVTOPTARIP.15007;That's entertainment!;x
EVTOPTARIP.15008;How will I ever face anyone again?;x

EVTDSC_RIP_20001;Why complicate things when there is nothing like the good old rack? Judging by [From.GetTitledFirstName]'s screams it seems like [From.GetSheHe] learnt [From.GetHerHis] lesson...;x
EVTDSC_RIP_20002;You are quietly contemplating your fate when suddenly your jailor enters and drags you from your cell. "Do not worry" he assured you, with a less than reassuring smile. "You will not meet the headman's axe today. The merciful [From.GetTitle] has decided that the rack will suffice.";x
EVTDSC_RIP_20003;Oh, the sweet kiss of the whip! [From.GetTitledFirstName] will be sleeping on [From.GetHerHis] stomach for quite some time. Judging by [From.GetTitledFirstName]'s screams it seems like [From.GetSheHe] learnt [From.GetHerHis] lesson...;x
EVTDSC_RIP_20004;You are quietly contemplating your fate when suddenly your jailor enters and drags you from your cell. "Do not worry" he assured you, with a less than reassuring smile. "You will not meet the headman's axe today. The merciful [From.GetTitle] has decided that the whip will suffice." ;x
EVTDSC_RIP_20005;A bucket of rats was strapped to [From.GetTitledFirstName]'s chest and heated with burning coals. Fortunately, it was removed before the rats managed to gnaw a way through [From.GetHerHim]. Judging by [From.GetTitledFirstName]'s screams it seems like [From.GetSheHe] learnt [From.GetHerHis] lesson...;x
EVTDSC_RIP_20006;You are quietly contemplating your fate in your lonely cell when suddenly your jailor enters. "A proper introduction to your cell mates is due" he says and drags you with him. "The rats. While they might appear withdrawn at first, I'm certain you will think them forward enough when they gnaw through your chest." ;x
EVTDSC_RIP_20007;For [From.GetHerHis] heinous crime, that [GetRootFromInsult] [From.GetTitledFirstName] deserves nothing but the most excruciating punishment. [From.GetSheHeCap] will be tortured... with a feather.;x
EVTDSC_RIP_20008;You are quietly contemplating your fate when suddenly your jailor enters. You struggle to decipher the look on his face, but you think he might be... disappointed. You demand to know what is going on. "Our almighty [From.GetTitle] has ordered you to be tortured... with a feather.";x
EVTDSC_RIP_20009;[From.GetTitledFirstName] was undressed, tied to a pole and left out in the heat for a few days. While it seems like [From.GetSheHe] suffered no permanent damage, [From.GetSheHe] had to be carried back inside. You are sure [From.GetSheHe] learnt [From.GetHerHis] lesson...;x
EVTDSC_RIP_20010;You are quietly contemplating your fate when suddenly your jailor enters. "Remove your clothes" he demands with an ominous grin. "Do not worry, no one will stare at you. You will be quite alone. In the wilderness. Tied to a pole." ;x
EVTDSC_RIP_20011;[From.GetTitledFirstName] was undressed, tied to a pole and left out in the snow overnight. While it seems like [From.GetSheHe] suffered no permanent damage, [From.GetSheHe] had to be carried back inside. You are sure [From.GetSheHe] learnt [From.GetHerHis] lesson...;x
EVTDSC_RIP_20012;You are quietly contemplating your fate when suddenly your jailor enters. "Remove your clothes" he demands with an ominous grin. "Do not worry, no one will stare at you. You will be quite alone. In the wilderness. Tied to a pole." ;x
EVTDSC_RIP_20013;You order the jailor to drag [From.GetTitledFirstName] from [From.GetHerHis] cell while you methodically prepare your tools. No one crosses you unscathed and [From.GetFirstName] will become a living example of this. At least that's the plan, but who knows? You could... slip.;x
EVTDSC_RIP_20014;You are quietly contemplating your fate when suddenly the jailor enters and drags you out of your cell. Outside, [FromFrom.GetTitledFirstName] awaits. Your blood runs cold when you see [FromFrom.GetHerHis] cold grin. "Do not worry, you [GetFromFromRootInsult]. I have not come for your head. Your leg will do just fine.";x
EVTDSC_RIP_20015;You order the jailor to drag [From.GetTitledFirstName] from [From.GetHerHis] cell while you methodically prepare your tools. No one crosses you unscathed and [From.GetFirstName] will become a living example of this. At least that's the plan, but who knows? You could... slip.;x
EVTDSC_RIP_20016;You are quietly contemplating your fate when suddenly the jailor enters and drags you out of your cell. Outside, [FromFrom.GetTitledFirstName] awaits. Your blood runs cold when you see [FromFrom.GetHerHis] cold grin. "Do not worry, you [GetFromFromRootInsult]. I have not come for your head. Your hand will do just fine.";x
EVTDSC_RIP_20017;You order the jailor to drag [From.GetTitledFirstName] from [From.GetHerHis] cell while you methodically prepare your tools. No one crosses you unscathed and [From.GetFirstName] will become a living example of this. At least that's the plan, but who knows? You could... slip.;x
EVTDSC_RIP_20018;You are quietly contemplating your fate when suddenly the jailor enters and drags you out of your cell. Outside, [FromFrom.GetTitledFirstName] awaits. Your blood runs cold when you see [FromFrom.GetHerHis] cold grin. "Do not worry, you [GetFromRootInsult]. I have not come for your head. Your eye will do just fine.";x
EVTDSC_RIP_20019;You order the jailor to drag [From.GetTitledFirstName] from [From.GetHerHis] cell while you methodically prepare your tools. No one crosses you unscathed and [From.GetFirstName] will become a living example of this. At least that's the plan, but who knows? You could... slip.;x
