#CODE;ENGLISH;x

EVTDESC63000;It rankles me that my liege, [This.Liege.GetTitledFirstName], has vassals who should rightfully be mine.;x
EVTDESC63001;My vassal, [From.GetTitledName], has requested that a lower rank vassal should serve [From.GetObjectPronoun] rather than me directly...;x
EVTDESC63002;My Liege, [From.GetTitledName], has decreed that henceforth I am a vassal of [FromFrom.GetTitledName]'s.;x
EVTDESC63003;My Liege, [From.GetTitledName], has denied my request to make my rightful vassal mine.;x
EVTDESC63004;[From.GetTitledName] has not answered my request to transfer a vassal. This bodes ill.;x
EVTDESC63005;My dear friend and vassal!\n\nYou are a bedrock of loyalty, the cornerstone of the realm! Truly, there is support for your claim in [From.Religion.GetScriptureName]. I know that [From.Religion.GetRandomGodName] will reward you in time!\n\n[From.GetTitledName];x
EVTDESC63006;My Liege, [Root.Liege.GetTitledName], has justly agreed to my request. [From.GetTitledName] is now my vassal!;x
EVTDESC63006B;My liege has agreed to transfer a vassal to me, but I will have to repay [Root.Liege.GetHerHim] later.;x
EVTDESC63007;It seems [FromFrom.GetTitledName] wanted to become my new liege, but [Root.Liege.GetTitledName] has chosen to give me a claim on [FromFrom.GetTitledFirstName] instead!;x
EVTDESC63010;I have hatched a brilliant scheme to get rid of my hated rival!;x
EVTDESC63011;My liege! It pains me to say, but there is a traitor in the realm. This rotten egg is plotting your downfall. I enclose the damning evidence with this letter.\n\nYour loyal servant, [From.GetTitledFirstName];x
EVTDESC63012;At the false charges of the accursed [FromFrom.GetTitledName], my liege has seen fit to imprison me!;x
EVTDESC63013;Dear [Root.GetTitledFirstName], your accusations against [FromFrom.GetTitledFirstName] proved to be truthful! The vile schemer is now languishing in my deepest, darkest dungeon.\n\nYour [From.GetTitle]\n[From.GetTitledFirstName];x
EVTDESC63014;Dear [Root.GetFirstName]! I'm afraid your allegations do not hold up. I can take no action against your so called traitor.\n\n[From.GetTitledFirstName];x
EVTDESC63015;My loyal vassal! I recently received some disturbing allegations against you from [FromFrom.GetTitledName]. I do not believe them, but you should know that [From.GetSubjectPronoun] is no friend of yours.\n\n[From.GetTitledFirstName];x
EVTDESC63016;To the dishonorable [Root.GetTitledFirstName]! Know that I am aware of your schemes, and so is [This.Liege.GetTitledFirstName]. [From.Religion.GetRandomGodName] be my witness, you will not succeed.;x
EVTDESC63017;Disaster! [From.GetTitledFirstName] has thrown me in the dungeon for my 'false' allegations.;x
EVTDESC63018;A loyal friend at the household of [From.GetTitledName] told me that [From.GetSubjectPronoun] is about to present [Root.Liege.GetTitledFirstName] with false evidence of my treason!;x
