#CODE;ENGLISH;x

EVTDESC_HF_50002;To the [GetFromRootCompliment] [Root.GetTitledFirstName],\nStaying idle is not in a warrior's blood, I hence invite you to aid me against my enemies. I promise to put in a good word you at the lodge based on your participation in the war. [GetWarLetterFlavor]\n\nWith the hope of your support,\n[From.GetTitledName];x
EVTDESC_HF_50004;To the [GetFromRootCompliment] [Root.GetTitledFirstName],\nI am reaching out to you, asking if you wish to join the war against [warrior_lodge_war_defender.GetTitledFirstName]. I promise to put in a good word you at the lodge if I win the war. [GetWarLetterFlavor]\n\nWith the hope of your support,\n[From.GetTitledName];x
EVTDESC_HF_50005;To the [GetFromRootCompliment] [Root.GetTitledFirstName],\nI heard that you turned down the offer made from [warrior_lodge_war_defender.GetTitledFirstName]. My counter offer is similar, I will put in a good word you at the lodge with the possibility of something additional if my victory is ensured. \n\nWith the hope of your support,\n[From.GetTitledName];x
EVTDESC_HF_50104_attacker_won;The war that raged between [warrior_lodge_war_attacker.GetTitledFirstName] and [warrior_lodge_war_defender.GetTitledFirstName] has now ended in favor of [warrior_lodge_war_victor.GetFirstName]. [GetWarLetterOutcome];x
EVTDESC_HF_50104_defender_won;The war that raged between [warrior_lodge_war_attacker.GetTitledFirstName] and [warrior_lodge_war_defender.GetTitledFirstName] has now ended in favor of [warrior_lodge_war_victor.GetFirstName]. [GetWarLetterOutcome];x
EVTDESC_HF_50104_white_peace;The war that raged between [warrior_lodge_war_attacker.GetTitledFirstName] and [warrior_lodge_war_defender.GetTitledFirstName] has now come to a sizzling ending in white peace. [GetWarLetterOutcome];x
EVTDESC_HF_50105;Another letter from [warrior_lodge_war_side.GetFirstName] arrived today. [warrior_lodge_war_side.GetSheHeCap] shares the news of people's reactions after he regaled them the grand tales of my deeds. Along with the stories is also an invitation to join [warrior_lodge_war_side.GetHerHim] in [GetSuggestedActivity]...;x
EVTDESC_HF_50106;I can tell by the handwriting that another letter from [warrior_lodge_war_side.GetFirstName] has arrived on my desk. After I accepted [warrior_lodge_war_side.GetHerHis] invitation to celebrate [warrior_lodge_war_side.GetHerHis] victory, [warrior_lodge_war_side.GetSheHe] has written more often. Surely there's a reason for this continued contact?;x

EVTOPTA_HF_50002;I gladly accept. May my weapon taste the blood of your enemies!;x
EVTOPTA_HF_50104;I am pleased to hear this.;x
EVTOPTA_HF_50105;I happily accept! What a joyous occasion to share with [warrior_lodge_war_side.GetFirstName].;x
EVTOPTA_HF_50106;Time spent [warrior_lodge_war_side.GetFirstName] are precious memories I will forever cherish.;x

EVTOPTB_HF_50002;I have other matters to attend to.;x
EVTOPTB_HF_50104;Is that all? I expected more...;x
EVTOPTB_HF_50105;Decline the invitation. It is not suitable to my taste.;x
EVTOPTB_HF_50106;I never thought that I could find love as a consequence of war...;x

EVTOPTC_HF_50104;The nerve of this brazen fool!;x
EVTOPTC_HF_50106;My letters to [warrior_lodge_war_side.GetFirstName] is nothing but formality.;x

EVTOPTD_HF_50104;What should I have done differently...?;x

EVTOPTE_HF_50104;There is truth in his harsh words. I must abandon my craven ways.;x
