EVTDESC_WoL_6000;You have begun construction of an observatory. It will take some time to collect all the necessary materials and get everything in order.;x
EVTDESC_WoL_6010;Your observatory is finally ready. It is with great anticipation that you prepare to make your first observations.;x
EVTDESC_WoL_6020;You have spent many nights looking at the stars in your observatory. It is truly fascinating, there are so many questions to ask...;x
EVTDESC_WoL_6100;Observing the movements of the stars at night, you have begun to see some regular patterns. These observations, however, have raised many new questions. You are starting to wonder, for example, if the Earth is really at the center of it all.;x
EVTDESC_WoL_6110;The research you conduct in your observatory at night is proving deeply fascinating. You could push your studies further, but you'd need to purchase more equipment for it to be meaningful.;x
EVTDESC_WoL_6122;One morning, your [worried_courtier.GetRootRelation] [worried_courtier.GetTitledFirstName] comes to see you. [worried_courtier.GetSheHeCap] says: 'I am worried. I have heard that you are spending late nights studying the sky and entertaining heretical notions about the cosmos. I would ask that you stop, for your own sake.';x
EVTDESC_WoL_6130;You nightly studies of the movements of the celestial bodies are increasing your knowledge of a great many things. You feel that you are getting closer to understanding the universe.;x
EVTDESC_WoL_6140;Working in your observatory, lately you are often frustrated by broken equipment, weeks on end of cloudy weather and frequent interruptions by curious intruders and even animals. It's very hard to maintain concentration and get anything done.;x
EVTDESC_WoL_6152;Dear [Root.GetTitledName],\nI have been told that you are pursuing studies in fields that deny the truths of [Root.Religion.GetRandomGodName]. I am certain that such rumors are only slander and that you would never do such a thing. If it were true, however, I would be most disappointed.\n\nIn the name of [Root.Religion.GetRandomGodName],\n[religious_head.GetTitledName];x
EVTDESC_WoL_6160;You studies of the celestial spheres are progressing well. You see movements and relationships that you had never dared guess at. It seems clear to you now that the laws that guide the movements of the stars must also be reflected on Earth in some way..;x
EVTDESC_WoL_6170;You are sure you have made a breakthrough in your studies. Yes, it cannot be otherwise. The Earth is round, and it revolves around the Sun. How little we know of the Universe!;x
EVTDESC_WoL_6300;Observing the stars at night, you have begun to sense some irregular movements. You also notice that some stars seem to appear and disappear at odd times. You need to study this more...;x
EVTDESC_WoL_6322;One morning, your [worried_courtier.GetRootRelation] [worried_courtier.GetTitledFirstName] comes to see you. [worried_courtier.GetSheHeCap] says: 'I am worried. I have heard that you are spending late nights staring at the sky, speaking in odd riddles and entertaining heretical notions about the cosmos. I would ask that you stop, for your own sake.';x
EVTDESC_WoL_6330;The studies you have conducted in your observatory have convinced you that there are many strange things beyond the known cosmos. There are few sources and no one to share knowledge with you, however. But you have heard of a strange old scholar in the Arabian Desert who is rumored to possess vast knowledge of the weird.;x
EVTDESC_WoL_6331;You arrive at the abode of the strange old scholar Ibrahim. After some persuasion, he invites you in. You speak at length, and he tells of you of the scholar Abdul the Mad, who knew many things of the strange spheres beyond and of talking beings that are not human. You find out that Abdul the Mad wrote a book called the Necronomicon, in which he recorded many strange and unholy truths. Ibrahim says that as he is impressed by your sincerity and desire for knowledge, he can sell you a copy of the book. He tells you to beware, however, as too much intense study of the Necronomicon is said to drive the reader insane...;x
EVTDESC_WoL_6336;Shortly after the death of your [GetFromRelation] [From.GetTitledFirstNameWithNick], you are brought a strange piece of news. It seems that [From.GetHerHis] library was raided, the only item stolen being a strange old book of Arabian origin. Two servants who were in the library at the time were found dead, though witnesses refused to describe the state of the bodies.;x
