#CODE;ENGLISH;x

EVTDESC88250;A messenger arrives with an invitation to all the warriors of the land to take part in Furusiyya, a great martial competition held but once per reign to determine who is the greatest.;x
EVTDESC88251;The Furusiyya begins and the coming two months shall separate those gifted with the skills of a warrior from those who would only pretend at such.;x
EVTDESC88252;The Furusiyya has come to an end and the stories of its great heroes and their unfortunate victims are already spreading throughout the land.;x
EVTDESC88253;The Furusiyya has ended, and though I was bested by some participants, I also saw victory more than once. The promise I show as a warrior cannot be denied.;x
EVTDESC88254;The Furusiyya has ended and my martial prowess is no longer considered idle boasting - it is proven fact. Though there were a handful of warriors gifted with skills superior to my own, the glory I won is enough to make me a hero in the eyes of the people.;x
EVTDESC88255;The Furusiyya has reached its end and not a moment too soon. My performance left much to be desired, and I would have suffered worse if some of my opponents had not pitied me.;x
EVTDESC88256;The Furusiyya has ended and though I did make a name for myself, it was not the one I had hoped for. I lost to every challenger, and when I pushed through the crowds and fled in panic in the last wrestling duel, I could hear laughter behind me...;x
EVTDESC88257;The end of the Furusiyya has come, and I have learned much from the skilled warriors who attended. Both my swordsmanship and archery have improved.;x
EVTDESC88258;The Furusiyya has reached its end, and the combat techniques I had practised did not work well against real, thinking opponents. I am not quite the fighter I thought I was...;x
EVTDESC88259;As my opponent skillfully plunged his blade into my belly and I fell on my back, I reflected briefly on the unfairness of the universe. Then I focused on my fading heartbeat as the blue sky above turned darker and darker...;x
EVTDESC88260;My horse bucked wildly to the side as my opponent rushed past on his camel, and I was thrown to the ground. When my senses returned, I noticed my arm was bent at a strange angle...;x
EVTDESC88261;I was facing an opponent in a game of chess, and while pondering my opening moves, the game next to ours turned violent. One of the players hurled the board aside to pull out his scimitar, sending chess pieces flying everywhere. One of White's Bishops struck me in the eye.;x
EVTDESC88262;To my great shame, the challenge of keeping my bowels in check during the martial competition proved too much for me. I fled home to escape the taunts of my former comrades and for a change of underwear.;x
EVTDESC88263;Suddenly, in the middle of a frenzied melee, the crowds part to reveal a giant swordsman grinning at you. After he shows off some fancy moves with his sword, the crowds turn expectantly to you. You fling a dagger into the thug's throat and he drops dead to the wild cheers of those nearby.;x
EVTDESC88264;There were many who doubted my fighting ability, but when we rode our horses into mock battle only to be ambushed by our opponents, I was the one who led us to victory against all odds.;x
EVTDESC88265;As we rode our horses into battle in yet another test of skill, I devised a clever ambush against our opponents. We prevailed despite being outnumbered.;x
EVTDESC88266;Many believe that chess is the ultimate test of strategy, and if this is true, your brilliance as a general is undeniable. All who have mustered the courage to challenge you in this game have met with defeat.;x
EVTDESC88267;You are renowned for your skills in strategy and planning, but several defeats in mock battles due to embarrassing mistakes on your part have put this reputation into question.;x
EVTDESC88268;No matter how hard you try, you cannot wrap your head around this stupid game called chess. Your opponents always seem to be several moves ahead of you.;x
EVTDESC88269;After repeatedly falling off my horse during a competitive event, many have questioned my abilities as a warrior.;x
EVTDESC88270;I have emerged from the Furusiyya as the finest warrior of the land. I have bested all challengers, and my skills at archery and horsemanship have proved second to none.;x
EVTDESC88271;I have been declared the second champion of the Furusiyya. Few are those who can match my martial prowess.;x
EVTDESC88272;I have been named third champion of the Furusiyya. My efforts in these competitions have proved that I belong in a small circle of elite warriors.;x
EVTDESC88273;Though I did not participate myself, I felt particularly drawn to the wrestling challenges of the Furusiyya...;x
EVTDESC88274;While others busied themselves with martial exploits during the Furusiyya, I found the time to embark on different challenges in the many tents that have cropped up just outside the tournament grounds. Like the other fighters, however, I too suffer from battle sores...;x
EVTDESC88275;My shortcomings in the Furusiyya competitions do not seem quite as significant after helping myself to a healthy serving of wine. Though it is haram, forbidden, surely a few more drops won't hurt...;x
