#CODE;ENGLISH;x

EVTDESC_MNM_8000;I shall do a pilgrimage to one of the holy sites of the [Root.Religion.GetName] faith seeking enlightenment and purification.;x
EVTDESC_MNM_8001;There are many places a devout [Root.Religion.GetName] might visit during a pilgrimage. They will undoubtedly all offer enlightenment but a closer location may make for a safer journey.;x
EVTDESC_MNM_8002;There are many places a devout [Root.Religion.GetName] might visit during a pilgrimage. They will undoubtedly all offer enlightenment but a closer location may make for a safer journey.;x
EVTDESC_MNM_8003;There are many places a devout [Root.Religion.GetName] might visit during a pilgrimage. They will undoubtedly all offer enlightenment but a closer location may make for a safer journey.;x
EVTDESC_MNM_8004;My preparations are done and the time has come to begin my pilgrimage to Sarnath. Soon I shall experience the tranquility and enlightenment of the park in which the Buddha held his first lectures.;x
EVTDESC_MNM_8005;My preparations are all done and it is now time to begin my pilgrimage for Bodh Gaya and the sacred Bodhi Tree.;x
EVTDESC_MNM_8006;I have packed my things and made preparations for my household to make do without me. It is time to set out for Monasteries of Sanchi.;x
EVTDESC_MNM_8007;I have packed my things and made preparations for my household to make do without me. It is time to start my pilgrimage for Shravanabelagola.;x
EVTDESC_MNM_8008;I have packed my things and made preparations for my household to make do without me. It is time to start my pilgrimage for the ancient mountains of Girnar.;x
EVTDESC_MNM_8009;I have packed my things and made preparations for my household to make do without me. It is time to set out for the forest of Madhuban and the Shikarji peaks.;x
EVTDESC_MNM_8010;I have packed my things and made preparations for my household to make do without me. It is time to set out for the land of Braj and the twin cities of Mathura and Vrindavan.;x
EVTDESC_MNM_8011;I have packed my things and made preparations for my household to make do without me. It is time to set out for the ancient city of Varanasi. Soon I shall cleanse my body in the Ganges as generations have before me.;x
EVTDESC_MNM_8020;It is the season of the monsoon and rain is pouring down. Roads turn to mud and crops wash away. The life of a pilgrim can sometimes be a hard and arduous one.;x
EVTDESC_MNM_8021;The dry season is upon us and there is no water in sight. A pilgrim's life can sometimes harsh and unforgiving but it is clear this is taking a heavier toll on the villages I pass by than it does on me.;x
EVTDESC_MNM_8022;Any traveller would balk at the prospect of traversing hills and jungle but it was the shorter route. Emerging from the undergrowth however it is becoming increasingly clear that I have made a mistake. The road ahead is not necessarily as dangerous as what now lies behind, but it is quite clearly not the right road.;x
EVTDESC_MNM_8023;A large group of mounted warriors block our way. The local Raja is a man that has taken it upon himself to relieve pilgrims, merchants or other travelers of some of their wealth in order to allow them passage. Turning back is not an option, either we pay or we will have to fight these men.;x
EVTDESC_MNM_8024;It has been days since we last saw a settlement and deep forests surround us on all sides. The small road we have been following has all but disappeared in the thick undergrowth. As I look up I can make out a huge creature native to this jungle on the other side.;x
EVTDESC_MNM_8025;Since this journey began I have come to pass through many cities and villages. Few have been as poor as the settlement that now lies before us. Men, women and children live in such poverty that it is hard to see how they can endure, and yet... These are some of the happiest people I have ever come across!;x
