EVTDESC_ZE_8100;Upon the conclusion of a long council meeting you decide to make a toast. Of course, one toast eventually becomes many and time seems to slip away... Later, as you leave the council chamber, you stumble and fall on your face. You can feel the taste of blood in your mouth and dizzyness is setting in.;x
EVTDESC_ZE_8101;[From.GetTitledName] just left the council meeting but now you can hear a faint call for help. As you go outside you notice [From.GetTitledName] laying flat on [From.GetHerHis] face and all bloodied up. [From.GetSheHeCap] asks you for aid, and to be discreet.;x
EVTDESC_ZE_8102;You hear the voice of [From.GetTitledFirstName] just before you pass out. As you wake up the next morning, it feels as if your head is about to explode. But at least you are safe.;x
EVTDESC_ZE_8103;You notice [From.GetTitledName] standing next to you, [From.GetSheHe] seems to contemplate helping but is not responding to your pleads. Just before you pass out you see [From.GetHerHim] bringing the rest of the councillors out, and they look at you in pity before they help you.;x
EVTDESC_ZE_8110;Your vassal [target_vassal.GetTitledName] is arguing with [target_vassal.GetHerHis] [target_vassal.GetHusbandWifeOpp]. [target_vassal.GetSheHeCapOpp] seems quite upset and they are almost screaming at each other. They don't even notice that you are watching them.;x
EVTDESC_ZE_8111;As you approach the couple, you look at them both and explain that [target_vassal.GetFirstName] must have been under a lot of stress lately with all the responsibilities the council put on [target_vassal.GetHerHim]. Now there will be less to do and [target_vassal.GetSheHe] will have time to show [target_vassal.GetHerHis] [target_vassal.GetHusbandWifeOpp] some appreciation.;x
EVTDESC_ZE_8112;Me and my [Root.GetHusbandWifeOpp] were arguing violently about insignificant matters but [From.GetTitledName] came to my rescue and my marriage may be saved because of that.;x
EVTDESC_ZE_8113;[From.GetTitledName] seemed very grateful for my help, and promised to return the favor whenever possible.;x
EVTDESC_ZE_8114;[From.GetTitledName] was upset that I interrupted a private discussion, [From.GetSheHe] wanted me to stay out of their business in the future.;x
EVTDESC_ZE_8120;The crooked [pardon_target.GetBestName] has called in the Favor you owe [pardon_target.GetHerHim] in order to force you to pardon [pardon_target.GetHerHis] devious crimes! You will no longer be able to take hostile actions against [pardon_target.GetHerHim] without looking like a tyrant in the eyes of the realm.;x

EVTOPTA_ZE_8100;Help!;x
EVTOPTA_ZE_8100_TOOLTIP;Hopefully someone will hear you.;x
EVTOPTA_ZE_8101;Help [From.GetHerHim] discreetly.;x
EVTOPTA_ZE_8101_TOOLTIP;You do the honorable thing.;x
EVTOPTA_ZE_8102;I am in debt to [From.GetTitledFirstName].;x
EVTOPTA_ZE_8103;I'll remember this.;x
EVTOPTA_ZE_8110;I should intervene.;x
EVTOPTA_ZE_8111;Leave.;x
EVTOPTA_ZE_8112;I owe [From.GetHerHim] a favor.;x
EVTOPTA_ZE_8113;I'm glad it worked out for them.;x
EVTOPTA_ZE_8114;[From.GetTitledName] should be grateful for my help!;x
EVTOPTA_ZE_8120;Forgive and forget.;x

EVTOPTB_ZE_8100;No need to draw attention to myself right now, I think.;x
EVTOPTB_ZE_8100_TOOLTIP;Survival of the fittest.;x
EVTOPTB_ZE_8101;Call the others out and mock [From.GetHerHim].;x
EVTOPTB_ZE_8110;It's none of my business.;x
EVTOPTB_ZE_8112;[From.GetFirstName] should stay out of my business.;x
