EVTTITLE23212;The Legend of [Root.GetFirstNameWithNick];x
EVTTITLE23213;The Legend of [From.GetFirstNameWithNick];x
EVTTITLE23434;Harbinger of the Blood Gods;x
EVTTITLE23435;Realm of Blood;x

EVTDESCAHF23007;Before our troops can test their mettle against our enemies, we must be sure that the gods are in favor of this war. [From.GetTitledFirstName] has gathered all [From.GetHerHis] instruments and is ready to perform the divination on my offering.;x
EVTDESCAHF23008;[Root.GetHaruspexName] cuts the bull in half. While the beast's head is immolated, the diviner starts rummaging through his entrails. The response is quite clear. The gods favor our cause in the war to come! The troops will fight with renewed strength now that they know for sure that our victory has been ordained from the heavens.;x
EVTDESCAHF23009;[Root.GetHaruspexName] cuts the bull in half. While the beast's head is immolated, the diviner starts rummaging through his entrails. The signs are not entirely clear, but the diviner assures me that there was no signs of the Fates opposing our war. Our troops will surely be comforted by knowing that the gods are not against them.;x
EVTDESCAHF23010;[Root.GetHaruspexName] cuts the bull in half. While the beast's head is immolated, the diviner starts rummaging through his entrails. Unfortunately, the response from the diviner is not as positive as I hoped. There are clear signs that the gods are not in favor of this war. This news will not be good for morale...;x
EVTDESCAHF23011;[Root.GetHaruspexName] cuts the bull in half. While the beast's head is immolated, the diviner starts rummaging through his entrails. The response is terrible. Not only are the gods against us in this war but, according to the signs interpreted by the diviner, they seem to be favoring our enemies!;x
EVTDESCAHF23021;I was told many time when I was growing up of how the stars are influencing my behavior, but now I am no longer sure of it. Was it just stories grown-ups were telling me to make me feel special?;x
EVTDESCAHF23022;My [GetFromRelation] [From.GetFirstName] has taken a deep interest in the circumstances of [From.GetHerHis] birth and in the constellations affecting [From.GetHerHis] destiny.;x
EVTDESCAHF23023;My [GetFromRelation] [From.GetFirstName] warned me that I worry too much about the stars and that I should not let the circumstances of my birth affect my judgment on present events.;x
EVTDESCAHF23024;My [GetFromRelation] [From.GetFirstName] praised me today for paying the due respect to the heavens and taking a healthy interest in astrology and the influence that the stars have on me.;x
EVTDESCAHF23025;After making the proper calculations, I have determined that I was born under the sign of the Aquarius, a constellation commonly associated with introversion and eccentricity.;x
EVTDESCAHF23026;I walk amongst the ruins of one of the greatest civilizations to ever grace this world. I should take the opportunity to study in detail the history and the glorious accomplishments of those that came before us if I ever wish to emulate their feats.;x
EVTDESCAHF23027;I did my best, but my attempts to study the history of the Roman Empire were not as successful as I hoped. Most accounts I was able to access are fragmented and confusing. I don't think I was able to learn anything valuable after all these months of study.;x
EVTDESCAHF23028;I am fascinated by the legends of the old gods worshiped by Romans and Greeks in the past. Their capricious and passionate nature differs so much from [catholic.GetHighGodName]'s unknowable and contradictory designs... Their plots and rivalries certainly offer a better explanation for the chaotic state of our world.;x
EVTDESCAHF23029;In these past months I have immersed myself in the fragmented accounts of Caesar's military exploits against the Gauls. It has been an enlightening learning experience and I am sure that, despite the difference in equipment and sizes, I can apply some of his tactics against my own enemies.;x
EVTDESCAHF23030;In these past months I have immersed myself in the fragmented accounts of some of Rome's greatest statesmen. Reading the works of Emperor Justinian and of his reformation of the Roman legal code in particular has been an eye-opening experience for me.;x
EVTDESCAHF23031;In these past months I have immersed myself in the fragmented accounts of some of Rome's finest orators. Reading through the treaties of Cicero and other great sophists has allowed me to learn a lot about the fine art of diplomacy and politics.;x
EVTDESCAHF23101;For centuries the Church has had free reign to lord over Rome, the ancient capital of my Empire. The influence of the Papacy looms still over the city, as its many churches can attest. Perhaps it is time to reaffirm the authority of the Empire over the Church in incontrovertible terms...;x
EVTDESCAHF23102;In order to stamp out any remaining rebellious aspirations and punish past insults against the Empire, [From.GetTitledFirstName] has ordered the destruction of the Holy See itself. After having priests and prelates abandon their churches in a hurry, barely giving them enough time to recover relics and books, [From.Culture.GetName] soldiers consigned the holy buildings to the flames.\nThis abominable act is certain to permanently cripple the authority of the Catholic Church for centuries to come.;x
EVTDESCAHF23106;I have restored the Empire, a feat worthy of immortal glory, yet now doubts beset my mind. How can I ensure that this Empire will not fall like it did in the past? When looking for the causes that fragmented and destroyed the old Empire, there is only one thing that appears to be constant...;x
EVTDESCAHF23107;Could it be possible that, by embracing the barbaric Eastern religion of Christ, Emperor Theodosius weakened the Empire, and that, conversely, I might be able to strengthen it by reintroducing the worship of the old gods? My decision could just as easily doom the Empire a second time as I attempt to save it...;x
EVTDESCAHF23108;[Root.GetTitledName],\nWe have come to the conclusion that Our predecessors' attachment to the barbaric cult of the Galileans is inextricably tied to the fall of this great Empire of ours, and I have come to the resolution that, in order to truly restore the glory of Rome, we must also restore its ancient religion.\n\nSincerely, \n[From.GetTitledName];x
EVTDESCAHF23109;I shall not be part of this farce. I am a §Y[From.Religion.GetName]§!, and I will not abandon my faith in [From.Religion.GetHighGodName].\n\nSincerely, \n[From.GetTitledName];x
EVTDESCAHF23110;I am happy to stand right beside you for the resurgence of the §YHellenic§! faith, my [Root.GetTitle].\n\nSincerely, \n[From.GetTitledName];x
EVTDESCAHF23111;[Root.GetTitledName],\nI have come to the conclusion to abide by the new Imperial decree and convert to the Hellenic faith. I expect all my subordinates to follow me in this decision.\n\nSincerely, \n[From.GetTitledName];x
