#CODE;ENGLISH;x

EVTDESC_JD_10106_A;[offmap_china.Ruler.Culture.GetName] armies are finally retreating, after a bloody war with [the_winner.PrimaryTitle.GetName]. [the_winner.GetTitledName] has shown the whole world that [the_winner.GetHerHis] leadership is one to be reckoned with! This defeat will live on in our memory, and certainly in the mind of the [offmap_china.Ruler.GetChineseComplimentAdjective] [offmap_china.Ruler.GetEmpressEmperorCap] [offmap_china.Ruler.GetHerselfHimself].;x
EVTDESC_JD_10106_B;When the first [the_winner.Culture.GetName] armies clashed against the Chinese regiments, few anticipated this outcome. While the Middle Kingdom put in a valiant effort, it has ended in a sullen retreat, as it is finally clear that the [offmap_china.GetFullName] has lost the war against [the_winner.PrimaryTitle.GetName]. [the_winner.GetTitledFirstName] stands victorious, while agents across the world are wondering what repercussions this will have for the political map we have come to know.;x
EVTDESC_JD_10107_A;The people of [the_loser.PrimaryTitle.GetName] hang their heads in grief, as their leaders return with devastating news. Since [the_loser.GetHerHis] initial order to attack, [the_loser.GetTitledName] has suffered a crushing defeat against the [offmap_china.GetFullName]. Meanwhile, [offmap_china.Ruler.Culture.GetName] armies are celebrating, their victory finally declared. They are bound to, along with their [offmap_china.Ruler.GetChineseComplimentAdjective] [offmap_china.Ruler.GetEmpressEmperorCap], instill fear in many [the_loser.Culture.GetName] a heart, for years to come.;x
EVTDESC_JD_10107_B;The people of [the_loser.PrimaryTitle.GetName] probably never knew why the [offmap_china.Ruler.GetChineseComplimentAdjective] [offmap_china.Ruler.GetEmpressEmperorCap] chose to attack [the_loser.GetTitledFirstName]. Regardless, they have suffered a crushing defeat and [offmap_china.Ruler.Culture.GetName] armies are journeying home to celebrate, as their victory has finally been declared.;x
EVTDESC_JD_10131_A;The [offmap_china.Ruler.GetChineseComplimentAdjective] [offmap_china.Ruler.GetEmpressEmperorCap] must currently have more important matters to deal with than the war against [the_aggressor.GetTitledName]. Why else would [offmap_china.GetFullName] negotiate with their aggressors? Reports state that [offmap_china.Ruler.Culture.GetName] armies are pulling back from [the_aggressor.PrimaryTitle.GetName], as a White Peace is being established between the nations.;x
EVTDESC_JD_10131_B;When the [offmap_china.GetFullName] sent their armies to occupy territory in [the_defender.PrimaryTitle.GetName], few expected that the war would eventually end in a stalemate. Chinese troops are unexpectedly returning home, while the administration of [the_defender.GetTitledName] are working tirelessly to calm the people of [the_defender.Capital.GetName], still shaken by the war.;x
EVTDESC_JD_30045;My council informs that the Chinese [offmap_china.Ruler.GetTitle] has sent significant forces from the heart of the Middle Kingdom, to support their outlying regions in the West. Leaning over the war table, I can only hope that my silence instills confidence in my advisors. In my own chest, I feel a mild panic rising.;x
EVTDESC_JD_30045_INDIA;My council informs that the Treasure fleet of the Middle Kingdom has been spotted outside of the Bengal Bay carrying a significant land force, to support their outlying regions in the West. Leaning over the war table, I can only hope that my silence instills confidence in my advisors. In my own chest, I feel a mild panic rising.;x
EVTDESC_JD_30047;Through years of careful strategic planning, repeated tactical brilliance, and a measure of luck that makes believers of us all, we have managed to whittle down the enemy armies! I am almost beginning to dream of victory, when my generals inform me that the Chinese [offmap_china.Ruler.GetTitle] has dispatched more forces to the West.;x

EVTOPTA_JD_10106;The [offmap_china.GetFullName] will remember our name...!;x
EVTOPTA_JD_10106_TT;§YThe [offmap_china.GetFullName]§! lost a war against §Y[the_winner.GetTitledName]§!.;x
EVTOPTA_JD_10107;May [Root.Religion.GetHighGodName] watch over us.;x
EVTOPTA_JD_10107_TT;§YThe [offmap_china.GetFullName]§! won a war against §Y[the_loser.GetTitledName]§!.;x
EVTOPTA_JD_10131;We survived the wrath of the Dragon...;x
EVTOPTA_JD_10131_TT;§YThe [offmap_china.GetFullName]§! declared White Peace with §Y[the_aggressor.GetTitledName]§!.;x
EVTOPTA_JD_30045;May [Root.TrueReligion.GetHighGodName] help us...;x
EVTOPTA_JD_30047;What does it take to bring down this beast?!;x

EVTOPTB_JD_10106;And so the Dragon recoils...;x
EVTOPTB_JD_10107;The Dragon is not to be toyed with...;x
EVTOPTB_JD_10131;Not all who face off against the Dragon live to tell the tale.;x
EVTOPTB_JD_10131_TT;§YThe [offmap_china.GetFullName]§! declared White Peace with §Y[the_defender.GetTitledName]§!.;x

EVTTOOLTIPA_JD_30045;Imperial Chinese troops have arrived in the §YGansu§! corridor, near the province of §YJiuquan§!.;x
EVTTOOLTIPB_JD_30045;The Imperial Chinese fleet has arrived with troops from the Indian ocean, near the province of §YSamatata§!.;x
