#CODE;ENGLISH;x

EVTDESC30000;After months of fights, arguments and tears, my spouse suggested separate bedchambers.;x
EVTDESC30001;My new wife disgusts me! I cannot stand it anymore, I should annul our marriage!;x
EVTDESC30002;My spouse ended our marriage on grounds of non-consummation! I will not put up with this, I am [Root.GetTitledFirstName]!;x
EVTDESC30003;I asked my [Root.Religion.GetName] father to annul my marriage but he had already been snared by the lies of my former wife! He told me to take her back or else he would place my lands under an interdict.;x
EVTDESC30004;It irks me that my own son will not inherit the title! My husband's heir must be removed, but how?;x
EVTDESC30005;My son and heir [Root.Heir.GetTitledFirstName]'s sudden illness could be the signs of poisoning! I know my wife [Root.Spouse.GetFirstName] well enough to suspect her, her ambition has always been that her son would inherit my title!;x
EVTDESC30006;A courtier snuck up behind me and grabbed my arm. He hissed that he had seen me pour something into the heir's glass of milk only hours before he fell ill and wants some sort of bribe to keep quiet about the poisoning!;x
EVTDESC30007;My son died today, poisoned by his own stepmother! I cannot ignore the fact that my beloved [Root.Spouse.GetFirstName] was cold-blooded enough to murder my son in favor of her own son.;x
EVTDESC30008;My husband's son is dead! The only cloud on my otherwise blue sky is the courtier who claims he saw me poisoning the heir repeatedly until he died.;x
EVTDESC30009;[Root.Spouse.GetTitledFirstName] threw me into the dungeon, accusing me of poisoning [Root.GetHerHis] son!;x
EVTDESC30010;My dear [Root.Spouse.GetHusbandWife] [Root.Spouse.GetTitledFirstName] blames my confused head for the poisoning, [Root.Spouse.GetSheHe] seem to think I believed the poison was a miracle cure for his son's illness. I will let [Root.Spouse.GetHerHim] believe that.;x
EVTDESC30011;After both my son and my courtier had fallen ill with the same symptoms and no one else had been affected, one of the serving girls told me in confidence that she had seen my [Root.Spouse.GetFirstName] pour a drop of something suspiciously poisonous into the flagon of mulled wine my son and courtier had shared. Did my spouse deliberately poison my son, and, perhaps accidentally, my courtier?;x
EVTDESC30020;Only one thing can explain my son [Root.Heir.GetFirstName]'s sickness: poison! I talked to several of my courtiers and servants who confirmed my suspicion: they all recalled my wife [Root.Spouse.GetFirstName] giving [Root.Heir.GetFirstName] something to eat or drink just before [Root.Heir.GetSheHe] fell ill.;x
EVTDESC30021;My [Root.Spouse.GetFirstName] has poisoned me!;x
EVTDESC30025;I feel that [Root.Spouse.GetFirstName] is too affectionate towards a [Root.Spouse.GetManWoman] in the court and is starting to neglect me in favor of that [Root.Spouse.GetManWoman]! The love [Root.Spouse.GetSheHe] showers [Root.Spouse.GetHerHis] favorite with is beyond measure, I do hope they don't have a illicit and sinful union!;x
