# used in religion_name_formats
ALT_BOOK_THE_BLOOD_BOOK;The Blood Book;x
ALT_BOOK_THE_BOOK_OF_FAITH;The Book of Faith;x
ALT_BOOK_THE_BOOK_OF_ILLUMINATION;The Book of Illumination;x
ALT_BOOK_THE_BOOKS_OF_BLESSED_VIRTUE;The Books of Blessed Virtue;x
ALT_BOOK_THE_CHRONICLES_OF_REALITY;The Chronicles of Reality;x
ALT_BOOK_THE_CODE;The Code;x
ALT_BOOK_THE_DIAMOND_TABLET;The Diamond Tablet;x
ALT_BOOK_THE_EPISTLES_OF_WISDOM;The Epistles of Wisdom;x
ALT_BOOK_THE_FIVE_BOOKS_OF_WORSHIP;The Five Books of Worship;x
ALT_BOOK_THE_GRAND_STORY;The Grand Story;x
ALT_BOOK_THE_GREAT_SECRET;The Great Secret;x
ALT_BOOK_THE_HALLOWED_MANUSCRIPT;The Hallowed Manuscript;x
ALT_BOOK_THE_HOLY_TABLETS_OF_STONE;The Holy Tablets of Stone;x
ALT_BOOK_THE_LEGENDS;The Legends;x
ALT_BOOK_THE_NINE_SCROLLS;The Nine Scrolls;x
ALT_BOOK_THE_OBELISKS;The Obelisks;x
ALT_BOOK_THE_RECORDS_OF_THE_INFITE_CYCLES;The Records of the Infinite Cycles;x
ALT_BOOK_THE_SACRED_SCROLL;The Sacred Scroll;x
ALT_BOOK_THE_SAGAS;The Sagas;x
ALT_BOOK_THE_SCROLL_OF_THE_NIGHT;The Scroll of the Night;x
ALT_BOOK_THE_SEVEN_SYMBOLS;The Seven Symbols;x
ALT_BOOK_THE_SINGED_TEXTS;The Singed Texts;x
ALT_BOOK_THE_SKIN_BOUND_SAGAS;The Skin-Bound Sagas;x
ALT_BOOK_THE_SONG_OF_LIFE;The Song of Life;x
ALT_BOOK_THE_TABLETS_OF_TIME;The Tablets of Time;x
ALT_BOOK_THE_THE_PROPHETS_PAMPHLET;The Prophet's Pamphlet;x
ALT_BOOK_THE_TOME_OF_PURITY;The Tome of Purity;x
ALT_BOOK_THE_TRANSCRIPTS_OF_THE_PAST;The Transcripts of the Past;x
ALT_BOOK_THE_UNSUNG_TALE;The Unsung Tale;x
ALT_BOOK_THE_WORLDS_GOSPEL;The World's Gospel;x

ALT_EVILGOD_CHAOS;Chaos;x
ALT_EVILGOD_DEATH_ITSELF;Death Itself;x
ALT_EVILGOD_DISEASE;Disease;x
ALT_EVILGOD_GRANDMOTHER_DEATH;Grandmother Death;x
ALT_EVILGOD_THAT_WITHOUT_A_NAME;That Without a Name;x
ALT_EVILGOD_THE_ARCANE_STORM;the Arcane Storm;x
ALT_EVILGOD_THE_BLOODLETTER;the Bloodletter;x
ALT_EVILGOD_THE_BROTHER_OF_FIRE;the Brother of Fire;x
ALT_EVILGOD_THE_BUGS;the Bugs;x
ALT_EVILGOD_THE_BUTCHER;the Butcher;x
ALT_EVILGOD_THE_COSMIC_HORROR;the Cosmic Horror;x
