#CODE;ENGLISH;x

EVTDESC1000;A pretty wench is throwing herself at you.;x
EVTDESC1001;The cook has prepared a fine meal, but the priest preached about temperance...;x
EVTDESC1002;The cook had prepared a magnificent meal, with lots of different fruits, various kinds of meat, plenty of freshly baked bread and several mature cheeses.;x
EVTDESC1003;After giving my advice on a delicate matter, the courtier asked me to accept a small gift of gold as thanks for my help;x
EVTDESC1004;Work can be tedious and when one problem is solved another one pops up. I tire of having to complete the same tasks over and over again.;x
EVTDESC1005;Her hair is always perfect, men love her charm and looks but she is also intelligent and well-spoken. She has been blessed with beauty, intelligence and success in all things.;x
EVTDESC1006;It feels like everyone is trying to trump me! My huntsman killed more prey than I, my councillors found a better solution to the rebellious peasants than mine and I started to feel that everyone was better than I am, no matter what.;x
EVTDESC1007;I don't think it was meant to hurt me, but the criticism still stung harder than it should have.;x
EVTDESC1008;I took a good look at myself and thought about my weaknesses and strengths. After many hours of soul-searching, I realized:;x
EVTDESC1009;It was one of those situations where you didn't want to tell the truth in case it would hurt the person, but in the same time, honesty is a virtue...;x
EVTDESC1010;I imagined a situation which became more and more intimidating, with an outcome that could mean life or death. I swallowed hard and decided that I would...;x
EVTDESC1011;It started as an uneasiness around guests and strangers, then evolved into awkwardness and a strong feeling of discomfort.;x
EVTDESC1012;I could strive to become better, or I can be satisfied with who I am and what I have.;x
EVTDESC1013;If my opinion ruled, the world would be a more chaotic but fun place. If I keep following the laws, the world would have less chaos but also be less fun.;x
EVTDESC1014;If there is a God, why is the world filled with hardships, grief and heretics?;x
EVTDESC1015;The court is filled with young, beautiful men and the attention they give me is making it hard for me to refuse them. Who wouldn't want one of them in their bed?;x
EVTDESC1016;Lately I have become afraid that someone might want to hurt me. I am thinking about hiring a, no, two food-tasters and... maybe a bodyguard would be a good idea?;x
EVTDESC1017;After I had made another courtier cry, the third one in a short week, I felt a bit embarrassed. Is this really who I am, a cruel [Root.GetManWoman] who likes to hurt people?;x
EVTDESC1018;Men have never interested me, and my awkward attempts to find out if another woman feels like I do has always ended with insulted or apprehensive looks. But today, a woman tried to seduce me!;x
EVTDESC1019;I realized when I was rather young that I would never find a woman attractive. The comfort and love I saw couples share felt out of my reach, until I met a man who felt as I did...;x
EVTDESC1028;It seems the young women no longer have the power to seduce me.;x
EVTDESC1029;Something I thought I had suppressed and finally subdued has risen inside me. Unchaste thoughts have begun to appear in my mind;x
EVTDESC1030;A diet of bread and water does not satisfy me any more. I need something else, something delicious and filling.;x
EVTDESC1031;I no longer find joy in stuffing myself with fine wines, red meat and rich sauces. I think I need a diet.;x
EVTDESC1032;Today in the market, I watched as a poor beggar took his bowl full of coins and went straight into the tavern to buy drink. Perhaps mankind is unlovable after all.;x
EVTDESC1033;Money didn't make me happy, nor did respect.;x
EVTDESC1034;Work has become boring and the hours of the day drag on.;x
EVTDESC1035;I feel spirited and restless. Maybe some work might calm me down?;x
EVTDESC1036;I am sick of always being kind to everyone!;x
EVTDESC1037;I should be happy with what I've got, not everyone is as privileged as I am.;x
EVTDESC1038;I have started to feel that 'turn the other cheek' is just stupid.;x
EVTDESC1039;The constant surges of adrenaline and increased heart rate makes me weary. It's not as fun being angry as it used to be.;x
EVTDESC1040;I am pretty great, after all.;x
EVTDESC1041;'Tis hard to feel proud when one has nothing to be proud of.;x
EVTDESC1042;I have grown tired of the young men who try to seduce me.;x
EVTDESC1043;Sometimes, it's easier to lie than to hurt people with a truth.;x
EVTDESC1044;Lies do hurt people. The truth... I think I can handle the truth.;x
EVTDESC1045;I did not understand fear before, but once you have felt your leg shake and teeth chatter with fear, then it is hard to remain brave.;x
EVTDESC1046;Fear has loosened its grip on me, and I stand tall against the things I used to fear.;x
EVTDESC1047;I crave solitude, I no longer seek the company of others.;x
EVTDESC1048;My confidence has grown and I don't feel so awkward anymore.;x
EVTDESC1049;There must be more to life than this!;x
EVTDESC1050;I have trumped everyone and am the best [From.GetTitle] ever!;x
EVTDESC1051;Justice is a harsh mistress and I can't love her anymore.;x
EVTDESC1052;Someone told me I'm arbitrary and I wish to change that.;x
EVTDESC1053;My favorite subject does not interest me anymore and I can't speak about it with the same zeal as before.;x
EVTDESC1054;Perhaps the glass is fuller than I believed it to be.;x
EVTDESC1057;The feeling of being watched and followed seem to have disappeared overnight!;x
