HF_100_DESC;A wandering warrior has requested an audience. It appears as if the entire court is abuzz with stories of [invited_character.GetHerHis] exploits, this [invited_character.GetFirstNameWithNick] is seemingly of great renown. [invited_character.GetSheHeCap] wishes to swear fealty to me, having heard of my relation to the legendary [target_bloodline_founder.GetFullName]! I truly am blessed by my blood.;x
HF_110_DESC;The blood of [target_bloodline_founder.GetFullName] flows through my veins. Since the days [target_bloodline_founder.GetSheHe] walked the earth we have abandoned our old [target_bloodline_founder.Religion.GetName] faith, though I do see merit in the ways that helped shape such a legend...;x
HF_120_DESC;There are many legends about the great [target_bloodline_founder.GetManWoman] whose blood I share. A particular story has been circulating at court lately. It focuses on an epic feat where [target_bloodline_founder.GetFirstName] proves [target_bloodline_founder.GetHerHis] strength of character. The more I hear, the more I wish to emulate [target_bloodline_founder.GetHerHim]...;x

EVTOPTA_HF_110;We were once like them, we should not judge their ways.;x
EVTOPTA_HF_120;I shall strive to be more like [target_bloodline_founder.GetHerHim]!;x

EVTOPTB_HF_100;Who invited [invited_character.GetHerHim]? Begone!;x
EVTOPTB_HF_110;No, the ways of old belong in the past.;x
EVTOPTB_HF_120;No, I make my own fate.;x

EVTOPTC_HF_110;[target_bloodline_founder.Religion.GetHighGodName] speaks directly through my blood! I repent!;x
EVTOPTC_HF_120;I know EXACTLY what they are referring to!;x

EVTTITLEHF24000;Tyrant of Trinacria;x
EVTTITLEHF24011;Queen of Illyria;x
EVTTITLEHF24012;Queen of Illyria;x
EVTTITLEHF24026;The happy [Root.GetSonDaughter] of [Root.Capital.GetName];x
EVTTITLEHF24028;The Macabre Banquet;x
EVTTITLEHF24029;The Silent Killer of [Root.Capital.GetName];x
EVTTITLEHF24030;The Butcher of [Root.Capital.GetName];x
EVTTITLEHF24032;The Warrior Child of [Root.Capital.GetName];x
EVTTITLEHF24034;The Perfect Knight;x
EVTTITLEHF24035;The Warlord from [Root.Capital.GetName];x
EVTTITLEHF24036;The Philosophy of War;x
EVTTITLEHF24038;The Heavenly Child of [Root.Capital.GetName];x
EVTTITLEHF24040;The Protector of [Root.Capital.GetName];x
EVTTITLEHF24041;The Benefactor of [Root.Capital.GetName];x
EVTTITLEHF24042;The Great Architect;x
EVTTITLEHF24043;The Realm of Stone;x
EVTTITLEHF24044;The Consecrated Realm;x
