EVTTITLE20003;The Conversion of [converting_king.PrimaryTitle.GetName];x
EVTTITLE20004;The Conversion of [converting_king.PrimaryTitle.GetName];x
EVTTITLE20008;The Conversion of [converting_king.PrimaryTitle.GetName];x
EVTTITLE20090;The Conversion of [converting_king.PrimaryTitle.GetName];x
EVTTITLE20200;The Coronation Ceremony;x
EVTTITLE20366;Coronation of [coronation_ruler.GetTitledFirstName];x
EVTTITLE20371;Scandalous Coronation;x

EVTDESCHF20200;The time has finally come for me to be officially recognized as [Root.GetTitle] of [Root.PrimaryTitle.GetName]. In order do this, I will need the support of the [Root.Religion.GetName] Church, but convincing authoritative members will neither be easy nor cheap. To begin the preparations, I should find a priest willing to crown me.;x

EVTDESCHF20303;[Root.GetTitledFirstName],\nI will be glad to attend your coronation!;x
EVTDESCHF20304;[Root.GetTitledFirstName],\nI am afraid I have to decline your invitation.;x

EVTDESCHFA20201;[From.GetFullName] wishes me to crown [From.GetHerHim] [From.GetTitle] of [From.PrimaryTitle.GetName]. What do I wish to ask [From.GetHerHim] in return?;x
EVTDESCHFA20202;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation. I eagerly await [Root.GetHerHisCap] [Root.GetHonorific]'s instructions regarding date and manner of the ceremony in order to better prepare myself for this sacred duty.\n\nEver [Root.GetHerHisCap] [Root.GetHonorific]'s servant\n[From.GetTitledName];x
EVTDESCHFA20203;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] donates a small sum of money to the Holy Mother Church as a show of [Root.GetHerHisCap] devotion.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];x
EVTDESCHFA20204;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] donates a sizable sum of money to the church of [From.Capital.GetName] as a show of [Root.GetHerHisCap] devotion.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];x
EVTDESCHFA20205;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] donates a sizable sum of money to the [From.Religion.GetName] Church as a show of [Root.GetHerHisCap] devotion.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];x
EVTDESCHFA20206;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by allowing the Holy Mother Church to initiate one of [Root.GetHerHisCap] children to the blessed life of monastic seclusion.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];x
EVTDESCHFA20207;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by allowing one of [Root.GetHerHisCap] sons to do his part in the sacred war against the infidels by joining one of our Holy Orders.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];x
EVTDESCHFA20208;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by organizing a private feast in honor of an ardent servant of the Church such as I am.\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];x
EVTDESCHFA20209;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by expanding the borders of the Bishopric of [From.Capital.GetName].\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];x
EVTDESCHFA20210;To the Excellent [Root.GetTitledName],\nI shall be honored to officiate [Root.GetHerHisCap] [Root.GetHonorific]'s coronation, provided that [Root.GetHerHisCap] [Root.GetHonorific] show [Root.GetHerHisCap] devotion by joining me as a pious member of the [From.Society.GetName].\n\nEver [Root.GetHerHis] [Root.GetHonorific]'s servant\n[From.GetTitledName];x
EVTDESCHFA20211;To [Root.GetTitledName],\nI shall be glad to legitimize your divine right to rule, as soon as you recognize that the Church is no servant to any King or Emperor, but instead watches over the salvation of the souls of all [christian.GetGroupName]s, regardless of their stature. \n\nSincerely,\n[From.GetTitledName];x
EVTDESCHFA20212;To [Root.GetTitledName],\nI shall be glad to recognize your divine right to rule, as soon as you donate what is due to the Church. \n\nSincerely,\n[From.GetTitledName];x
EVTDESCHFA20213;To [Root.GetTitledName],\nI shall be glad to recognize your divine right to rule, as soon as you officially proclaim that it is no business of the [Root.GetTitle] to appoint members of the clergy. \n\nSincerely,\n[From.GetTitledName];x
EVTDESCHFA20214;To [Root.GetTitledName],\nI shall be glad to recognize your divine right to rule, as soon as you prove your devotion to the [From.Religion.GetName] faith by waging war against a most impious ruler whose wickedness made worthy of excommunication from Our Holy Church. \n\nSincerely,\n[From.GetTitledName];x
EVTDESCHFA20215;To [Root.GetTitledName],\nI shall be glad to recognize your divine right to rule, as soon as you prove your devotion to the [From.Religion.GetName] faith by deposing the most abominable false Papacy whose existence threatens the very survival of Our Church. \n\nSincerely,\n[From.GetTitledName];x
EVTDESCHFA20216;To [Root.GetTitledName],\nI will gladly recognize your divine right to rule, as soon as you return to the Holy See some Italian lands over which you are wrongly proclaiming ownership, a violation of the sacred agreement between Emperor Pepin and Pope Stephanus II.\n\nSincerely,\n[From.GetTitledName];x
EVTDESCHFA20217;To [Root.GetTitledName],\nI will gladly recognize your divine right to rule, as soon as you prove your devotion to the [From.Religion.GetName] by donating land to one of the Holy Orders who so fervently defend Our Church against all the infidels and sinners who would wish it destroyed. \n\nSincerely,\n[From.GetTitledName];x
EVTDESCHFA20218;It appears the Pope was not content with excommunicating me from the Church, he has now enlisted the help of [From.GetTitledFirstName] to unseat me from my very throne.;x
EVTDESCHFA20219;The road forward is clear: I must depose the corrupted [From.GetTitledFirstName] from [From.GetHerHis] throne in order to earn my crown. Only once this war has been won will I be able to continue with the preparations for my anointment.;x
EVTDESCHFA20220;With the wicked ruler having been dealt with, the Pope has finally accepted to crown me [Root.GetTitle]. It is time to sheathe our weapons and let the celebrations begin.;x
EVTDESCHFA20221;To [Root.GetTitledName],\nBefore I can recognize your divine right to rule, you must deliver back under Papal control some Italian lands being currently withheld by a wicked ruler against Our wishes, a clear violation of the sacred agreement between Emperor Pepin and Pope Stephanus II.\n\nSincerely,\n[From.GetTitledName];x
EVTDESCHFA20222;The [christian.GetGroupName] Pope has decided to call one of his lackeys to arms against me, in an attempt to reclaim some of the Italian lands currently under my control. [From.GetTitledName] has just declared war against me on the Pope's behalf.;x
EVTDESCHFA20223;The road forward is clear: I must press the Church's claim over [From.PrimaryTitle.GetName] and restore [From.GetTitledFirstName]'s lands to Papal rule if I wish to be crowned [Root.GetTitle].;x
EVTDESCHFA20224;I have successfully wrestled Papal lands from infidel control and delivered them back under the blessed authority of the Holy See. Such an act has certainly ensured me a place in Heaven, or at the very least the gratitude of the Pope.;x
EVTDESCHFA20225;To [Root.GetTitledName],\nYour request is frankly ludicrous. Emperor Constantine gave full control of the Western Empire to the Papacy when he decided to move his court to the Eastern Provinces. If you wish to have a crown, I urge you to openly submit to the Holy See.\n\nSincerely,\n[From.GetTitledName];x
EVTDESCHFA20226;As such is the will of the Holy See, I decided to formally submit myself and my Empire to the sacred authority of the Universal Church. From now and forever more, His Holiness [FromFrom.GetTitledName] and His successors will have control over our lands, as it was intended by Emperor Constantine when he originally split the Roman Empire.;x
EVTDESCHFA20230;The Holy See has seen fit to press its ancient claim over my lands, and, in [From.GetHerHis] wisdom, my liege has decided to grant him his request. As such, it appears I have now become a vassal of the Holy See.;x
EVTDESCHFA20232;[From.GetTitledFirstName] has died: with [From.GetHerHim] gone I must find another priest to anoint me [Root.GetTitle].;x
