#CODE;ENGLISH;x

EVTNAME8603;Castle of Beit Dejan;x
EVTNAME8608;Castle of Belfort;x
EVTNAME8613;Castle of Athlith;x
EVTNAME8618;Castle of La Feve;x

EVTDESC8600;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Jaffa seems like a good candidate for this. I should ask the ruling Count there for permission.;x
EVTDESC8601;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights Templar ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Jaffa.;x
EVTDESC8602;The Knights Templar have erected the castle of Beit Dejan in [Root.GetName].;x
EVTDESC8603;The Knights Templar have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Beit Dejan.;x
EVTDESC8605;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Tyrus seems like a good candidate for this. I should ask the ruling Count there for permission.;x
EVTDESC8606;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights Templar ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Tyrus.;x
EVTDESC8607;The Knights Templar have erected the castle of Belfort in [Root.GetName].;x
EVTDESC8608;The Knights Templar have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Belfort.;x
EVTDESC8610;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Acre seems like a good candidate for this. I should ask the ruling Count there for permission.;x
EVTDESC8611;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights Templar ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Acre.;x
EVTDESC8612;The Knights Templar have erected the castle of Athlith in [Root.GetName].;x
EVTDESC8613;The Knights Templar have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Athlith.;x
EVTDESC8615;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Tiberias seems like a good candidate for this. I should ask the ruling Count there for permission.;x
EVTDESC8616;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights Templar ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Tiberias.;x
EVTDESC8617;The Knights Templar have erected the castle of La Feve in [Root.GetName].;x
EVTDESC8618;The Knights Templar have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as La Feve.;x
