#CODE;ENGLISH;x

# job_lord_spiritual.txt

#########################
#
#	Lord spiritual events
#
#########################

# The Lord Spiritual converts a province!
evt_lordspiritual_001_title;County Religion Converted;x
evt_lordspiritual_001_desc_a;The people in [Root.Location.GetName], or, at least, most of them, have embraced the [Root.Religion.GetName] faith!;x
evt_lordspiritual_001_option_a;My hard work has paid off!;x
evt_lordspiritual_001_option_a_tooltip;Send a letter to my liege!;x

# The Lord Spiritual informs his liege of the conversion
evt_lordspiritual_002_desc_a;My liege, I am pleased to report the success of my mission to [From.Location.GetName]. The majority of the population have been converted to the [From.Religion.GetName] faith!\nYour humble [From.GetLordSpiritualName]\n[From.GetTitledName];x

# Informs top liege
evt_lordspiritual_003_desc_a;The County of §Y[From.Location.GetName]§! has been converted to the §Y[From.Religion.GetName]§! faith.;x


# The Lord Spiritual converts a subject character
evt_lordspiritual_101_title;Subject Religion Converted;x
evt_lordspiritual_101_desc_a;Due to my tireless efforts, a humble subject in [Root.Location.GetName] has embraced the [Root.Religion.GetName] faith!;x
evt_lordspiritual_101_option_a;No one can resist the true faith!;x
evt_lordspiritual_101_option_a_tooltip;[This.GetTitledName] embraces the [Root.Religion.GetName] faith;x

# Inform the target character about this
evt_lordspiritual_102_desc_a;The [From.GetJobTitle] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has strongly influenced me and I have decided to convert to the [From.Religion.GetName] faith!;x
evt_lordspiritual_102_option_a;I will truly embrace [From.Religion.GetName];x

# Inform Lord Spiritual's Liege about this
evt_lordspiritual_103_desc_a;My liege, I am pleased to report that your errant subject, [From.GetTitledName], has converted to the [From.Religion.GetName] faith. Praise [From.Religion.GetRandomGodName]!\n\nYour humble [Root.GetLordSpiritualName],\n[Root.job_spiritual.GetTitledName];x

# Inform character's Liege about this
evt_lordspiritual_104_desc_a;My liege, after being convinced by the [From.GetLordSpiritualName] from another county, I have decided to convert to the [From.Religion.GetName] faith!\n\nYour humble servant,\n[From.GetTitledName];x
evt_lordspiritual_104_option_b;Who dares lead my subjects astray like this!;x


# The Lord Spiritual is attacked by heathens
evt_lordspiritual_201_title;Heathens Attack the [Root.Liege.GetLordSpiritualName];x
evt_lordspiritual_201_desc_a;Heathens, aggravated by my preachings in [Root.Location.GetName], are breaking into my room, screaming ungodly curses!;x
evt_lordspiritual_201_option_a;Will I escape with my life?;x
evt_lordspiritual_201_option_a_tooltip_1;[Root.GetTitledName] gets away;x
evt_lordspiritual_201_option_a_tooltip_2;[Root.GetTitledName] gets wounded;x

# Lord Spiritual gets away
evt_lordspiritual_202_desc_a;I managed to flee the heathen savages by escaping through the backdoor.;x
evt_lordspiritual_202_option_a;My prestige however did not go unscathed by the incident...;x

# Lord Spiritual gets wounded
evt_lordspiritual_203_desc_a;I did manage to survive the heathens attacking me, but the incident has left me severely wounded.;x
evt_lordspiritual_203_option_a;I thank the Lord for saving me;x
evt_lordspiritual_203_option_b;These savages must be converted or put to the sword!;x
evt_lordspiritual_203_option_c;I thank Allah for saving me;x
evt_lordspiritual_203_option_a_tooltip;I must send a letter to inform my liege;x

# Inform the Liege about wounding
evt_lordspiritual_204_desc_a;Your [Root.GetMyLordSpiritualName], §Y[From.GetTitledFirstNameNoRegnal]§!, was attacked by heathens in §Y[wounded_location.GetName]§! while trying to spread the faith.;x
evt_lordspiritual_204_option_a;How dare they!;x

# Inform the Liege about death
evt_lordspiritual_205_desc_a;[Root.GetTitledName], your [Root.GetLordSpiritualName] [From.GetTitledName] was killed by heathens when trying to spread the Holy Faith in [From.Location.GetName].;x
evt_lordspiritual_205_option_a;Horrible!;x


# The Lord Spiritual suspects a subject character of heresy
evt_lordspiritual_301_title;Heretic Noble;x
evt_lordspiritual_301_desc_a;I have found a heretic among the nobles in [Root.Location.GetName]!;x
evt_lordspiritual_301_option_a;This heresy must be stopped!;x
