#CODE;ENGLISH;x

EVTDESCHF25401;I have noticed that, since joining [warrior_lodge_to_join.GetName], my [new_recruit.GetRootRelation] has been eschewing [new_recruit.GetHerHis] studies in favor of training with the other fighters. It has become impossible to sit [new_recruit.GetHerHim] down to read a book.;x
EVTDESCHF25402;I have scarcely had time to focus on my literary studies since joining [warrior_lodge_to_join.GetName], yet I would be lying if I said that I miss spend long nights at candlelight, reading about dead people.;x
EVTDESCHF25403;I have scarcely had time to focus on my literary studies since joining [warrior_lodge_to_join.GetName], and while I have no problem with that, my [GetFromRelation] is livid. [From.GetSheHeCap] claims that I should find the time to both train and read.;x
EVTDESCHF25404;I have noticed that, since joining [warrior_lodge_to_join.GetName], my [new_recruit.GetRootRelation] has been avoiding [new_recruit.GetHerHis] responsibilities as a [new_recruit.GetTitle] to focus entirely on martial arts. If it keeps going like this, [new_recruit.GetSheHe] will soon be unfit to even administer a pig farm.;x
EVTDESCHF25405;Since my [GetFromRelation] made me join [warrior_lodge_to_join.GetName] I have had very little time to think of my responsibilities as [Root.GetTitle], what with all the training I have been going through. Still, learning to fight is certainly more exciting than hearing tedious complaints from peasants.;x
EVTDESCHF25406;Since my [GetFromRelation] made me join [warrior_lodge_to_join.GetName] I have had very little time to think of my responsibilities as [Root.GetTitle], what with all the training I have been going through. Unfortunately, this does not sit well with [From.GetFirstName]. [From.GetSheHeCap] has ordered me to find the time both to train in the art war and statesmanship.;x
EVTDESCHF25407;I have noticed that, since joining [warrior_lodge_to_join.GetName], my [new_recruit.GetRootRelation] has spent barely any time at court, learning to act as [From.GetHerHis] rank demands. Being in contact with all these coarse fighters is making [From.GetHerHim] adopt mannerisms that are unfitting of [From.GetHerHis] stature.;x
EVTDESCHF25408;Since my [GetFromRelation] made me join [warrior_lodge_to_join.GetName] I have spent very little time at court. Not that I mind, of course. The place is filled with boorish snobs and entitled sissies.;x
EVTDESCHF25409;Since my [GetFromRelation] made me join [warrior_lodge_to_join.GetName] I have spent very little time at court. Not that I mind, of course. The place is filled with boorish snobs and entitled sissies. Unfortunately, [From.GetFirstName] is not of the same opinion. [From.GetSheHeCap] claims that I should learn how to deal with my vassals and subjects as my title demands.;x
EVTDESCHF25410;I have noticed that all of this focus on physical activity might be dimming [From.GetFirstName]'s mind. My [From.GetSonDaughter] has been ignoring many of [From.GetHerHis] other studies and responsibilities to better refine [From.GetHerHis] combat skills, openly belittling their importance compared to the art of war.;x
EVTDESCHF25411;Today, [From.GetFirstName] took some time from [From.GetHerHis] responsibilities to scold me about what it means to be a warrior. [From.GetSheHeCap] thinks that I am focusing too much on the physical aspect of my training, and that I should know it takes both a strong body and a strong mind to make a good fighter.;x
EVTDESCHF25412;The past few months I have been focusing entirely on my training with [warrior_lodge_to_join.GetName], and the effects are showing. And all I had to do to become so strong was to neglect all my other studies!;x
EVTDESCHF25414;Today, [From.GetFirstName] took some time to scold me about my training. [From.GetSheHeCap] claims that spending so much time with uncouth riffraff is making me lose my manners and forgo any care about my looks, an behavior unfitting for a [Root.GetTitle].;x
