#CODE;ENGLISH;x

EVTDESC7040;I apparently visited the local tavern yesterday, which would explain the hangover... What is worse though, is they tell me I may have blabbered about a certain 'plot'...;x
EVTDESC7045;[From.GetTitledName] let everyone know about my plot to [Root.GetPlot] during a drunken stupor at the local tavern. I never should have included that drunken blabbermouth in a plot this delicate!;x

EVTOPTA7040;This won't be popular...;x
EVTOPTA7045;My reputation is ruined!;x

EVTDESC7250;My spymaster tells me that information about my plot to [Root.GetPlot] might have leaked to someone outside the conspiracy. We do not know who yet, but maybe we will hear from him...;x
EVTDESC7255;I have learned that [From.GetTitledName] has started a plot to [From.GetPlot]. What should I do with this information?;x
EVTDESC7260;It has come to my attention that you are the leader of a plot to [Root.GetPlot]. I find this most fascinating, and I bet that others would too... I suspect that you wish to keep this a secret, but my silence comes with a price.\n\nSigned,\n[From.GetTitledName];x
EVTDESC7265;I have no choice but to accept your despicable blackmail attempt. You have been given payment in full, and I expect your silence in this matter from now on.;x
EVTDESC7270;I will never succumb to blackmail! I rather face the embarrassment of having my plot exposed than giving you a single coin.;x

EVTOPTA7250;Can my spymaster never bring me good news?;x
EVTOPTA7255;A little blackmail can't hurt, can it?;x
EVTOPTA7260;Bastard! But I don't have a choice...;x
EVTOPTA7270;Damn;x

EVTOPTB7255;It does not concern me. Let it be.;x
EVTOPTB7260;I won't tolerate blackmail!;x

EVTTOOLTIP7260;Receives a letter;x





EVTDESC7700;[Root.PlotTarget.GetTitledName] is due to tour [Root.PlotTarget.Location.GetName] in an open carriage to receive the accolades and adulation of the common folk. There is bound be an escort, but what if a few archers were placed on the [Root.PlotTarget.GetTitle]'s path on certain key rooftops...;x
EVTDESC7701;Through my sources I have learned that our mutual problem will be touring a city in an open carriage. The guards will keep a close watch on the streets, but will they expect bowmen on the rooftops?;x
EVTDESC7702;My co-conspirator, [From.GetTitledName], has asked for coin to hire some bowmen to ambush [Root.PlotTarget.GetTitledName] as [Root.PlotTarget.GetSheHe] tours [Root.PlotTarget.Location.GetName] in an open carriage...;x
EVTDESC7703;[From.GetTitledFirstName] has sent me sufficient coin to hire some skilled archers to greet [From.PlotTarget.GetTitledFirstName] with as [From.PlotTarget.GetSheHe] tours the streets of [Root.PlotTarget.Location.GetName].;x
EVTDESC7704;[From.GetTitledFirstName] has refused to grant me the coin necessary to hire skilled bowmen to skewer [From.PlotTarget.GetTitledFirstName].;x
EVTDESC7705;I decided to tour [Root.Location.GetName] to receive the adulation of my subjects, but as my open carriage took a turn past the scroll depository I suddenly heard the whizzing sound of an arrow flying past mere inches from my head.;x
EVTDESC7706;I have been caught in a deadly crossfire! One of the arrows digs into my shoulder, and as I struggle to remove it, the final blow is delivered - an arrow strikes my temple, and my head is thrown back and to the left...;x
