#CODE;ENGLISH;x

EVTNAME8503;Castle of Krak des Chevaliers;x
EVTNAME8508;Castle of Margat;x
EVTNAME8513;Castle of Belvoir;x
EVTNAME8518;Castle of Beth Gibelin;x

EVTDESC8500;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Archa seems like a good candidate for this. I should ask the ruling Count there for permission.;x
EVTDESC8501;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights of St. John ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Archa.;x
EVTDESC8502;The Knights of St. John have erected the castle of Krak des Chevaliers in [Root.GetName].;x
EVTDESC8503;The Knights of St. John have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Krak des Chevaliers.;x
EVTDESC8505;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Tortosa seems like a good candidate for this. I should ask the ruling Count there for permission.;x
EVTDESC8506;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights of St. John ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Tortosa.;x
EVTDESC8507;The Knights of St. John have erected the castle of Margat in [Root.GetName].;x
EVTDESC8508;The Knights of St. John have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Margat.;x
EVTDESC8510;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Safed seems like a good candidate for this. I should ask the ruling Count there for permission.;x
EVTDESC8511;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights of St. John ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Safed.;x
EVTDESC8512;The Knights of St. John have erected the castle of Belvoir in [Root.GetName].;x
EVTDESC8513;The Knights of St. John have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Belvoir.;x
EVTDESC8515;To help defend the Holy Land from the infidels, our order should establish castles there. The county of Hebron seems like a good candidate for this. I should ask the ruling Count there for permission.;x
EVTDESC8516;To the Great [Root.GetTitledFirstName],\nYour wisdom and mercy are legendary. The Knights of St. John ask for your help in the Holy War against the infidels. To assist us in our struggle we humbly ask permission to establish a new castle in the County of Hebron.;x
EVTDESC8517;The Knights of St. John have erected the castle of Beth Gibelin in [Root.GetName].;x
EVTDESC8518;The Knights of St. John have established a new holding in the [From.County.GetFullName]. Permission to settle there was granted to them by the noble [FromFrom.GetTitledName]. Their mighty castle will henceforth be known as Beth Gibelin.;x

EVTOPTA8500;I will write a letter at once.;x
EVTOPTA8501;Excellent! You have my blessing;x
EVTOPTA8502;Let it be known to the world!;x
EVTOPTA8503;I really am a good Christian;x

EVTOPTB8501;An intriguing idea, but not at this time...;x
EVTOPTB8503;The infidels should tremble!;x

EVTOPTC8501;No religious orders in my territory!;x
EVTOPTC8503;Curse these infidels!;x
EVTOPTD8503;Worrisome...;x
